item,item_label,twitter
http://www.wikidata.org/entity/Q27691,Alberto Bueno,Albertobueno15
http://www.wikidata.org/entity/Q27694,Emre Can,emrecan_
http://www.wikidata.org/entity/Q27696,Toifilou Maoulida,
http://www.wikidata.org/entity/Q27699,Carlos Aranda,
http://www.wikidata.org/entity/Q27704,Maurizio Lanzaro,
http://www.wikidata.org/entity/Q27705,Javier Álamo Cruz,
http://www.wikidata.org/entity/Q27719,Stefan Babović,
http://www.wikidata.org/entity/Q27729,Álvaro González Soberón,
http://www.wikidata.org/entity/Q27733,Julien Sablé,
http://www.wikidata.org/entity/Q27735,Glenn Loovens,
http://www.wikidata.org/entity/Q27739,Oumar Sissoko,
http://www.wikidata.org/entity/Q27741,Abraham Minero,
http://www.wikidata.org/entity/Q31893,Marc Planus,
http://www.wikidata.org/entity/Q31903,David Bellion,
http://www.wikidata.org/entity/Q31907,Benoît Trémoulinas,
http://www.wikidata.org/entity/Q31951,André Biyogo Poko,
http://www.wikidata.org/entity/Q31968,Francis Gillot,Gillou_Gironde
http://www.wikidata.org/entity/Q31972,Fahid Ben Khalfallah,
http://www.wikidata.org/entity/Q31980,José Luis Panizo,
http://www.wikidata.org/entity/Q31981,David Alaba,David_Alaba
http://www.wikidata.org/entity/Q31986,Cléverson Gabriel Córdova,
http://www.wikidata.org/entity/Q31988,Carlos Henrique dos Santos Souza,
http://www.wikidata.org/entity/Q31992,Abdoulaye Keita,
http://www.wikidata.org/entity/Q31997,Ažbe Jug,JugAzbe
http://www.wikidata.org/entity/Q32091,Henri Saivet,Saivet_Henri
http://www.wikidata.org/entity/Q32158,Sebastián Morquio,
http://www.wikidata.org/entity/Q32168,Alyaksandar Lukhvich,
http://www.wikidata.org/entity/Q32191,Pedro Ochoa,
http://www.wikidata.org/entity/Q32231,Serghei Gheorghiev,
http://www.wikidata.org/entity/Q32248,Jan Louwers,
http://www.wikidata.org/entity/Q32315,Juan Martín Parodi,
http://www.wikidata.org/entity/Q32411,Héctor Castro,
http://www.wikidata.org/entity/Q32490,Samuel Wilson,
http://www.wikidata.org/entity/Q32539,Laureano Ruiz,
http://www.wikidata.org/entity/Q32556,Antonio Candreva,
http://www.wikidata.org/entity/Q32630,Mick Bates,
http://www.wikidata.org/entity/Q32733,Victor Mees,
http://www.wikidata.org/entity/Q32763,Santillana,
http://www.wikidata.org/entity/Q32812,Tryggve Gran,
http://www.wikidata.org/entity/Q32962,Larry Yáñez,
http://www.wikidata.org/entity/Q33008,Han Deok-hee,
http://www.wikidata.org/entity/Q33048,Allan Borgvardt,
http://www.wikidata.org/entity/Q33091,Stanislav Prins,
http://www.wikidata.org/entity/Q33107,Romain Élie,
http://www.wikidata.org/entity/Q33157,Osvaldo Sáez,
http://www.wikidata.org/entity/Q34658,Michael Reiziger,
http://www.wikidata.org/entity/Q34670,Albert Camus,
http://www.wikidata.org/entity/Q34764,Mika Aaltonen,
http://www.wikidata.org/entity/Q35940,Ayila Yussuf,
http://www.wikidata.org/entity/Q36305,Alessandro Matri,ale_matri
http://www.wikidata.org/entity/Q36305,Alessandro Matri,Ale_Matri
http://www.wikidata.org/entity/Q36815,Marteria,marsimoto
http://www.wikidata.org/entity/Q36815,Marteria,marteria
http://www.wikidata.org/entity/Q37231,Néstor Camacho,
http://www.wikidata.org/entity/Q37717,Shaun Maloney,
http://www.wikidata.org/entity/Q38136,Marcel,MarceloM12
http://www.wikidata.org/entity/Q38261,Paco Campos,
http://www.wikidata.org/entity/Q38304,Ēriks Pētersons,
http://www.wikidata.org/entity/Q38306,Alberts Šeibelis,
http://www.wikidata.org/entity/Q38317,Marians Pahars,
http://www.wikidata.org/entity/Q38321,Arnaud Anastassowa,
http://www.wikidata.org/entity/Q38658,Epifanio Fernández,
http://www.wikidata.org/entity/Q38660,Roberto Román Triguero,
