Rk,Player,Twitter
1702,Shabazz Muhammad,ShabazzMuhammad
1703,Ade Murkey,0_murk
1704,Jordan Murphy,jordanmurphy24
1705,Kamari Murphy,21__louie
1706,Trey Murphy III,treymurphy
1707,Keegan Murray,keegan3murray
1708,Kris Murray,KrisMurray24
1709,Tracy Murray,RealTracyMurray
1710,Toure' Murry,toure_murry
1711,Dikembe Mutombo,officialmutombo
1712,Hamady N'Diaye,H55ndiaye
1713,Abdel Nader,AbdelNader2
1714,Pete Nance,peteln22
1715,Shabazz Napier,ShabazzNapier
1716,Steve Nash,SteveNash
1717,Jameer Nelson,jameernelson
1718,Andrew Nembhard,AndrewNembhard
1719,RJ Nembhard Jr.,RubeNembhard
1720,Johnny Newman,jnewNBA
1721,Tristen Newton,d1tristen
1722,Andrew Nicholson,nicholaf44
1723,Daishen Nix,djfromveg
1724,Norm Nixon,NormNixon
1725,Joakim Noah,JoakimNoah
1726,Andrés Nocioni,SoyElChapu
1727,Obadiah Noel,Obenoel1
1728,Landers Nolley II,NolleyLanders
1729,Miles Norris,milesbnorris15
1730,Steve Novak,stevenovak16
1731,Markquis Nowell,MrNewYorkCityy
1732,Dirk Nowitzki,swish41
1733,Juan Nunez,juaan_ng
1734,Kendrick Nunn,nunnbetter_
1735,James Nunnally,allornunn21
1736,David Nwaba,dnwaba0
1737,Yannick Nzosa,yannick_nzosa
1738,Patrick O'Bryant,13POB13
1739,Alex O'Connell,Alex_OC11
1740,Shaquille O'Neal,SHAQ
1741,Shareef O'Neal,SSJreef
1742,Kyle O'Quinn,Kyle_OQuinn
1743,Kevin Obanor,_KevinObanor
1744,Chris Obekpa,Ewa_oche
1745,Lamar Odom,RealLamarOdom
1746,Chamberlain Oguchi,ChampOguchi
1747,Semi Ojeleye,semi
1748,Emeka Okafor,BigMek50
1749,Jahlil Okafor,JahlilOkafor
1750,Onyeka Okongwu,BigO21_
1751,Mehmet Okur,MehmetOkur13
1752,Victor Oladipo,VicOladipo
1753,Hakeem Olajuwon,DR34M
1754,Kelly Olynyk,KellyOlynyk
1755,Nuni Omot,nuniomot21
1756,Nick Ongenda,itsnxo
1757,E.J. Onu,ej35_
1758,Arinze Onuaku,arinze_onuaku
1759,Daniel Orton,danielorton21
1760,Tariq Owens,Sneaky_Bounce
1761,Jaysean Paige,born_ready0
1762,Kevin Pangos,KPangos
1763,Jannero Pargo,jpargo1
1764,Anthony Parker,_AnthonyParker
1765,Jabari Parker,JabariParker
1766,Tony Parker,tonyparker
1767,Chandler Parsons,ChandlerParsons
1768,Devonte Patterson,devontedawayne
1769,Lamar Patterson,LP21_
1770,Patrick Patterson,pdpatt
1771,Chris Paul,CP3
1772,Adreian Payne,Adreian_Payne
1773,Elfrid Payton,elfrid
1774,Gary Payton,GaryPayton
1775,L.J. Peak,ljpeak2
1776,Elijah Pemberton,ElijahPemberto1
1777,Will Perdue,Will_Perdue32
1778,Josh Perkins,JoshPerk13
1779,Reggie Perry,_R1bang_
1780,Jim Petersen,JimPeteHoops
1781,Drew Peterson,Drewpeterson23
1782,Morris Peterson,mopete24
1783,Travis Peterson,TPeterson42
1784,Luke Petrasek,Luke_Petrasek
1785,John Petrucelli,John_Petrucelli
1786,Filip Petrušev,PetrusevFilip
1787,John Petty Jr.,jpetty2324
1788,Julian Phillips,ju1ianphillips
1789,Jalen Pickett,JalenPickett7
1790,Jamorko Pickett,JamorkoP1
1791,Paul Pierce,paulpierce34
1792,Nate Pierre-Louis,Nate_PL
1793,Scottie Pippen,ScottiePippen
1794,Scotty Pippen Jr.,spippenjr
1795,Daeqwon Plowden,DaeqwonPlowden
1796,Mason Plumlee,masonplumlee
1797,Miles Plumlee,milesplumlee13
1798,Brandin Podziemski,brandinpodziem2
1799,Olden Polynice,OldenPolynice1
1800,Quincy Pondexter,QuincyPondexter
1801,Yves Pons,Airpons
1802,Craig Porter Jr.,craigporter0
1803,Jontay Porter,JontayPorter
1804,Otto Porter Jr.,OttoPorter
1805,Micah Potter,BigJam_23
1806,Leon Powe,Leon_Powe
1807,Dwight Powell,DwightPowell33
1808,Josh Powell,JP21Reasons
1809,Justin Powell,jtpowell241
1810,Myles Powell,YDWILU
1811,Matt Pressey,M_Pressive3
1812,Phil Pressey,philpressey
1813,Billy Preston,nolimitbill
1814,Jason Preston,Treballjay11
1815,A.J. Price,realAJPrice
1816,Mark Price,Mark25Price
1817,Joshua Primo,JoshuaPrimo4
1818,Gabriele Procida,GabrieleProcid9
1819,Laron Profit,Profit4eva
1820,Olivier-Maxence Prosper,olmaxpros8
1821,Zyon Pullin,Zyonpullin2
1822,Neemias Queta,nemi1599
1823,Lester Quinones,Effort_les
1824,Brandon Rachal,breezy_thegreat
1825,Kyle Randall,KRandy_12
1826,Julius Randle,J30_RANDLE
1827,Anthony Randolph,TheARandolph
1828,Brandon Randolph,brandolph902
1829,Zach Randolph,MacBo50
1830,Theo Ratliff,shotblocker42
1831,Leo Rautins,LeoRautins
1832,Duop Reath,DuopReath
1833,JJ Redick,jj_redick
1834,A.J. Reeves,ajreeves11
1835,Antonio Reeves,toniooreeves
1836,Travis Releford,T_2releFOUR
1837,Nate Renfro,nate_renfro
1838,Cameron Reynolds,CamoCinco
1839,Jared Rhoden,ihoop_jaay
1840,Glen Rice,glenrice41
1841,Sir'Jabari Rice,_jabariii
1842,Patrick Richard,prichard_3
1843,Jason Richardson,jrich23
1844,Quentin Richardson,QRich
1845,Akeem Richmond,shottdocc1
1846,Mitch Richmond,MitchRichmond23
1847,Grant Riller,grantriller97
1848,Zaccharie Risacher,Zacch_10
1849,Austin Rivers,AustinRivers25
1850,Doc Rivers,DocRivers
1851,Liam Robbins,liamrobbins_
1852,Andre Roberson,FlyDre21
1853,Nate Roberts,naterobertssss
1854,Ronald Roberts,RonaldRoberts5
1855,Clifford Robinson,UncleCliffy30
1856,David Robinson,DavidtheAdmiral
1857,Gerald Robinson,GRJR22
1858,Nate Robinson,nate_robinson
1859,Orlando Robinson,lamon_legend
1860,Thomas Robinson,Trobinson0
1861,Glenn Robinson III,GRIII
1862,Jeremiah Robinson-Earl,ThisIsJRE
1863,David Roddy,droddy22
1864,Desi Rodriguez,desirodriguez6
1865,Sergio Rodríguez,SergioRodriguez
1866,Ryan Rollins,_moneyballry
1867,Rajon Rondo,RajonRondo
1868,Derrick Rose,drose
1869,Jalen Rose,jalenrose
1870,Quinton Rose,qrose_3
1871,Terrence Ross,TerrenceRoss
1872,Jackson Rowe,JacksonRaw
1873,Ricky Rubio,rickyrubio9
